,Protein Accession,Length,PE Score,#Confirmed Isoforms,In Reference Proteome
84982,F1S5Y8,894,1,0,1
84983,F1SE07,422,4,0,1
84984,A0A4X1TTK4,699,4,0,0
84985,F1SL28,495,4,0,1
84986,A0A5G2QAP9,289,1,0,1
84987,F1RTN3,580,1,0,1
84988,A0A4X1UPU6,573,3,0,0
84989,A5A776,3791,2,0,0
84990,A0A5G2RC35,159,3,0,1
84991,A0A4X1VMG5,520,4,0,0
84992,A0A4X1UBY1,859,4,0,0
84993,A0A4X1UB25,653,3,0,0
84994,F1RRU3,503,4,0,1
84995,A0A4X1VCE4,1155,4,0,0
84996,A0A5G2RDI9,296,4,0,1
84997,A0A287AVL1,674,4,0,1
84998,A0A5G2QVD1,1762,3,0,1
84999,A0A287BHC8,608,1,0,1
85000,A0A4X1SEI9,801,4,0,0
85001,A0A286ZWZ3,984,1,0,1
85002,A0A4X1VMM1,381,4,0,0
85003,A0A4X1VUD9,320,3,0,0
85004,A0A4X1TW83,656,3,0,0
85005,A0A4X1SYF3,1013,4,0,0
85006,A0A4X1USX5,1299,4,0,0
85007,I3LUI6,1636,3,0,1
85008,A0A287AIZ9,701,1,0,1
85009,A0A286ZWJ7,1111,1,0,1
85010,A0A5G2R9E5,428,4,0,1
85011,A0A4X1SK77,961,4,0,0
85012,A0A346KIX6,192,2,0,0
85013,A0A4X1TDC8,549,4,0,0
85014,A0A287BEZ2,1055,3,0,1
85015,A0A287B2L1,1187,3,0,1
85016,A0A3G5MVC5,364,2,0,0
85017,A0A4X1SI31,262,3,0,0
85018,K7GM46,438,3,0,1
85019,A0A5G2QHW1,307,1,0,1
85020,A0A4X1V8P4,372,3,0,0
85021,A0A4X1U671,306,3,0,0
85022,A0A4X1T6F3,255,3,0,0
85023,A0A4X1U629,278,3,0,0
85024,A0A5G2RG58,571,3,0,1
85025,F1SBI4,757,4,0,1
85026,D6C4F5,361,2,0,0
85027,A0A4X1UJB6,171,3,0,0
85028,A0A4X1SLX5,1785,4,0,0
85029,A0A287BL11,2680,3,0,1
85030,I3LLC7,250,4,0,1
85031,A0A4X1THL2,252,3,0,0
85032,A0A5G2QT26,775,4,0,1
85033,A0A286ZSV4,589,4,0,1
85034,A0A4X1W877,186,3,0,0
85035,F1SA57,212,4,0,0
85036,A0A5G2R5X6,454,1,0,1
85037,I3L5U4,743,4,0,1
85038,K9J6L8,1544,2,0,0
85039,A0A287BKD6,383,4,0,1
85040,A0A4X1SU67,282,4,0,0
85041,A0A4X1SV63,2969,4,0,0
85042,F1SAJ9,326,1,0,1
85043,A0A5G2QN17,185,4,0,1
85044,A0A4X1SV18,485,3,0,0
85045,A0A287ATQ6,482,4,0,1
85046,K7GL29,154,3,0,1
85047,F1RW66,1050,4,0,1
85048,A0A4X1SEA8,761,4,0,0
85049,A0A5G2RBZ4,450,3,0,1
85050,A0A4X1U2Z5,568,3,0,0
85051,A0A5G2R0U7,635,3,0,1
85052,A0A4X1UY73,184,3,0,0
85053,A0A5G2Q7Y9,929,1,0,1
85054,A0A5G2R4V3,606,4,0,1
85055,Q75NG6,250,2,0,0
85056,A0A4X1TAP2,1284,4,0,0
85057,B9TSR9,701,2,0,0
85058,A0A5G2QWY4,1065,4,0,1
85059,A0A5G2RFB1,327,4,0,1
85060,F1RZ85,733,4,0,1
85061,A0A5G2QDB4,362,1,0,1
85062,A0A4X1UP81,187,3,0,0
85063,A0A4X1VEK9,127,3,0,0
85064,A0A4X1SZH2,386,3,0,0
85065,F1RZT9,457,1,0,1
85066,A0A3G5MVI8,341,2,0,0
85067,A0A5G2QVT8,774,1,0,1
85068,A0A4X1TNJ9,664,4,0,0
85069,A0A4X1T3H7,325,3,0,0
85070,A0A4X1W5Q1,502,4,0,0
85071,A0A5G2R7C3,554,1,0,1
85072,A0A4X1UKM7,1504,3,0,0
85073,A0A287BBF0,355,4,0,1
85074,A0A5G2QVS7,112,4,0,1
85075,F1RK53,940,1,0,1
85076,A0A4X1W6X5,2553,3,0,0
85077,A0A4X1W6W7,1006,4,0,0
85078,F1SR41,311,3,0,1
85079,F1SA59,139,3,0,1
85080,A0A4X1VXY5,1392,3,0,0
85081,A0A5G2RHG6,287,1,0,1
85082,A0A4X1UQK8,416,4,0,0
85083,A0A4X1UKC1,377,4,0,0
85084,A0A286ZYF1,4913,4,0,1
85085,K7GQK8,698,1,0,1
85086,A0A4X1SYM8,889,3,0,0
85087,A0A4X1T9G5,367,4,0,0
85088,A0A5G2RCS0,532,3,0,1
85089,A0A4X1VTG6,2622,3,0,0
85090,A0A4X1W291,810,3,0,0
85091,C4P6P6,304,2,0,0
85092,A0A5S6HQH9,785,3,0,1
85093,A0A4X1TUR5,76,4,0,0
85094,Q6EEJ3,72,3,0,0
85095,F1SH84,480,4,0,1
85096,A0A4X1V2Q2,717,3,0,0
85097,F1RGQ4,527,4,0,1
85098,A0A4X1W9Z9,1124,3,0,0
85099,A0A4X1SZ27,140,3,0,0
85100,A0A287AV87,700,4,0,1
85101,A0A287B746,400,1,0,1
85102,K7GPC7,107,3,0,1
85103,F1RN82,312,3,0,1
85104,F1RGU9,414,3,0,1
85105,A0A4X1VFM9,709,4,0,0
85106,A0A4X1SXN9,1260,3,0,0
85107,A0A286ZWX3,351,4,0,1
85108,A0A4X1TD02,839,3,0,0
85109,A0A287A7V5,233,3,0,1
85110,A0A287AX38,421,1,0,1
85111,A0A4X1TW79,934,3,0,0
85112,D0G0B8,250,2,0,0
85113,A0A5G2R1Y4,2111,1,0,1
85114,A0A5G2R0G9,972,1,0,1
85115,A0A4X1TWU5,1046,3,0,0
85116,F1SL49,723,4,0,1
85117,A0A5G2QGV0,494,4,0,1
85118,A0A4X1UNR3,1195,4,0,0
85119,C1ID80,349,3,0,0
85120,A0A480TQ26,961,4,0,0
85121,A0A5K1VIZ7,173,3,0,1
85122,A0A4X1T8Q3,520,3,0,0
85123,A0A5G2QK87,522,1,0,1
85124,I7DBK6,240,2,0,0
85125,A0A286ZMW1,515,4,0,1
85126,A0A5G2QPM4,430,1,0,1
85127,A0A4X1V241,725,3,0,0
85128,A0A480JGL3,406,3,0,0
85129,F1SM29,1244,3,0,1
85130,K9IVK0,1846,2,0,0
85131,I3LG24,550,3,0,1
85132,A0A5G2R0J8,406,1,0,1
85133,F1RTE0,559,3,0,1
85134,A0A4X1TFF9,309,3,0,0
85135,A0A4X1TEM3,1301,4,0,0
85136,A0A5G2QGP2,576,4,0,1
85137,F1SF44,513,4,0,1
85138,A0A4X1T6M7,117,4,0,0
85139,Q704S3,332,2,0,0
85140,F1SJQ7,533,4,0,1
85141,F1SRF1,623,3,0,1
85142,A0A4X1T3Z1,616,3,0,0
85143,Q8HX60,364,2,0,0
85144,A0A4X1V8W8,868,3,0,0
85145,A0A4X1TY76,761,3,0,0
85146,A0A4X1T9E4,486,3,0,0
85147,A0A286ZTR1,940,3,0,1
85148,F1S1Y6,1638,3,0,1
85149,A0A287ALX2,1205,1,0,1
85150,F1RS16,737,4,0,1
85151,A0A4X1UK08,361,3,0,0
85152,A0A4X1T6Z3,363,3,0,0
85153,A0A4X1UA92,1077,4,0,0
85154,F1RKT6,452,4,0,1
85155,A0A4X1UI62,303,4,0,0
85156,A0A4X1UFU9,271,4,0,0
85157,A0A4X1VQH2,1554,3,0,0
85158,A0A287A100,509,1,0,1
85159,A0A4X1T6H2,94,4,0,0
85160,F1RFK3,3539,1,0,1
85161,A0A4X1VSS4,1098,3,0,0
85162,A0A4X1SRX9,814,4,0,0
85163,A0A4X1T3M9,467,3,0,0
85164,A0A4X1VL16,465,3,0,0
85165,A0A4X1ULJ7,1200,4,0,0
85166,F1S4B0,402,4,0,1
85167,A0A4X1UWA5,620,4,0,0
85168,A0A4X1TXA9,1216,3,0,0
85169,A0A4X1W1P1,431,4,0,0
85170,A0A4X1UQ93,797,4,0,0
85171,A0A4X1V551,349,4,0,0
85172,F1SDC4,453,3,0,1
85173,A0A287BBB6,760,1,0,1
85174,A0A5G2QFJ8,477,1,0,1
85175,I3L8F3,1055,3,0,1
85176,A0A4X1SF15,881,3,0,0
85177,A0A4X1VQ68,287,3,0,0
85178,A0A4X1V443,409,3,0,0
85179,A0A4X1V5S4,39,4,0,0
85180,A0A287ATI9,408,1,0,1
85181,A0A4X1SI50,308,3,0,0
85182,A0A4X1UJG3,942,4,0,0
85183,A0A5G2RFX3,1055,4,0,1
85184,A0A287B3X1,2058,4,0,1
85185,A0A4X1SIL3,1043,3,0,0
85186,A0A287AEX5,471,4,0,1
85187,A0A4X1UAW8,1412,4,0,0
85188,A0A5G2QRP4,1296,1,0,1
85189,A0A5G2R7K2,737,3,0,1
85190,I3LGB9,2360,3,0,1
85191,A0A5G2R204,144,4,0,1
85192,A0A5G2QMG1,518,1,0,1
85193,A0A287AEY4,660,4,0,1
85194,A0A1Y0ATR1,219,2,0,0
85195,A0A4X1VUX9,581,4,0,0
85196,A0A4X1UVK1,1063,3,0,0
85197,A0A287B8G3,1068,4,0,1
85198,F1S4N0,577,4,0,1
85199,I3LIP6,733,1,0,1
85200,A0A5G2RNC6,584,1,0,1
85201,A0A4X1T1I8,2383,4,0,0
85202,I3LE14,199,1,0,1
85203,A0A287BGI9,2602,4,0,1
85204,A0A286ZXZ9,1029,1,0,1
85205,A0A287A303,260,4,0,1
85206,A0A4X1US80,355,4,0,0
85207,A0A5G2R0G8,944,3,0,1
85208,A0A5G2R9D3,338,4,0,1
85209,A0A4X1U7Z7,476,3,0,0
85210,A0A287AUL5,391,1,0,1
85211,A0A287BIZ9,315,3,0,1
85212,A0A4X1V2D6,507,3,0,0
85213,A0A4X1W3N0,1378,4,0,0
85214,A0A287A8W9,402,1,0,1
85215,I3L9S6,1174,4,0,1
85216,I3LAP5,335,3,0,1
85217,F1S1G9,750,4,0,1
85218,A0A5S6HL78,1128,3,0,1
85219,A0A5G2QG81,504,1,0,1
85220,A0A4X1SN01,533,4,0,0
85221,A0A5G2QZQ7,515,1,0,1
85222,A0A5G2R2Z8,125,4,0,1
85223,A0A4X1VYD6,120,4,0,0
85224,A0A4X1VC39,521,3,0,0
85225,F1RJ87,446,3,0,1
85226,A0A287BEQ5,438,4,0,1
85227,A0A287AIH4,1323,4,0,1
85228,A0A5G2QED5,351,1,0,1
85229,I3L8X6,678,1,0,1
85230,Q5ZES6,225,4,0,0
85231,A0A4X1U0K4,1662,3,0,0
85232,F1RGQ6,1107,1,0,1
85233,A0A4X1TVU7,525,3,0,0
85234,A0A4X1UF08,489,3,0,0
85235,A0A4X1UPB3,621,3,0,0
85236,I3LV77,135,4,0,1
85237,A0A5G2QNW2,157,3,0,1
85238,A0A4X1V2Y9,1192,3,0,0
85239,A0A287AWW4,633,1,0,1
85240,G9F6Y0,240,2,0,0
85241,A0A4X1VAZ0,385,4,0,0
85242,A0A4X1UD37,1624,4,0,0
85243,A0A5G2R2Q2,637,1,0,1
85244,A0A287A2J4,364,1,0,1
85245,A0A286ZQ82,893,1,0,1
85246,I3L629,503,1,0,1
85247,A0A4X1UTD4,334,4,0,0
85248,A0A4X1VQQ6,1127,4,0,0
85249,A0A4X1W5F0,1085,4,0,0
85250,F1SBR0,821,4,0,1
85251,A0A287ACK2,429,1,0,1
85252,A0A4X1THN0,913,3,0,0
85253,F1S7Y7,723,4,0,1
85254,A0A287AV12,732,1,0,1
85255,A0A287A5U4,1412,1,0,1
85256,I3LST3,1324,3,0,1
85257,A0A5G2RGY1,1574,4,0,1
85258,A0A287BKV3,825,4,0,1
85259,A0A287B1G5,873,1,0,1
85260,A0A480PA26,330,4,0,0
85261,A0A4X1VI58,636,4,0,0
85262,F1S4U8,493,4,0,1
85263,A0A287B945,2823,1,0,1
85264,F1SDA7,667,3,0,1
85265,A0A287A135,1098,4,0,1
85266,A0A287ACE6,215,1,0,1
85267,A0A5G2R5Y3,1121,4,0,1
85268,I3LGI9,614,1,0,1
85269,A0A4X1W515,639,4,0,0
85270,A0A4X1SDU2,781,4,0,0
85271,A0A287AF36,757,3,0,1
85272,A0A4X1T9J9,189,4,0,0
85273,A0A4X1VME1,546,3,0,0
85274,A0A5G2R9P1,338,3,0,1
85275,A0A5G2QHA8,197,4,0,1
85276,F1SVD9,240,4,0,1
85277,A0A4X1WC94,362,4,0,0
85278,F1SSC9,257,3,0,1
85279,F1S0W9,1910,1,0,1
85280,A0A4X1SFB7,1511,4,0,0
85281,F1STV2,133,3,0,1
85282,A0A4X1TWY2,204,3,0,0
85283,A0A4X1U7Z6,792,4,0,0
85284,I3LBB6,1340,4,0,1
85285,A0A4X1U9E8,352,4,0,0
85286,A0A286ZYB8,478,4,0,1
85287,K7GP44,1007,4,0,1
85288,A0A4X1UHV1,206,3,0,0
85289,A0A4X1VBB2,521,3,0,0
85290,A0A4X1UGL7,880,4,0,0
85291,I3L7P9,446,4,0,1
85292,A0A4X1VWH4,737,4,0,0
85293,A0A287B2F8,1337,1,0,1
85294,A0A4X1W6T0,177,3,0,0
85295,A0A4X1SZM6,1003,3,0,0
85296,A0A286ZQ80,621,4,0,1
85297,A0A5G2RD96,274,1,0,1
85298,F1SPZ5,1213,1,0,1
85299,A0A5K1VF45,348,1,0,1
85300,I3LDT6,566,4,0,1
85301,A0A4X1THU4,333,3,0,0
85302,F1RLC1,419,4,0,1
85303,A0A287B6J5,154,3,0,1
85304,A0A286ZPZ3,329,3,0,1
85305,A0A4X1UTR2,647,3,0,0
85306,A0A4X1W9H4,962,4,0,0
85307,A0A4X1THG4,322,3,0,0
85308,I3LK09,426,1,0,1
85309,A0A480TN26,161,3,0,0
85310,A0A4X1SS55,448,4,0,0
85311,A0A4X1U8R6,1370,3,0,0
85312,A0A4X1VM56,142,4,0,0
85313,A0A4X1WC98,360,4,0,0
85314,A0A4X1SIS4,236,4,0,0
85315,A0A286ZT94,587,4,0,1
85316,A0A287AHG0,720,4,0,1
85317,E7BUI2,244,4,0,0
85318,A0A5G2RMJ1,250,1,0,1
85319,A0A286ZQD4,149,4,0,1
85320,A0A5G2QW84,733,3,0,1
85321,A0A4X1U7F6,1155,3,0,0
85322,A0A4X1TL85,136,4,0,0
85323,A0A4X1TK25,233,4,0,0
85324,A0A4X1V3R9,189,3,0,0
85325,A0A287BGE0,53,4,0,1
85326,Q9BDJ9,310,2,0,0
85327,A0A5G2QI22,321,3,0,1
85328,A0A4X1UIP8,133,3,0,0
85329,A0A5G2QE51,293,1,0,1
85330,A0A4X1SF38,369,4,0,0
85331,A0A5G2QTC6,399,3,0,1
85332,D3JEM4,1030,2,0,0
85333,B5L2P7,83,4,0,0
85334,A0A480V7J3,523,3,0,0
85335,Q5DM22,91,4,0,0
85336,A0A4X1VZ67,137,4,0,0
85337,A0A5G2RLX0,1134,4,0,1
85338,A0A287AR20,205,1,0,1
85339,A0A3G5R0V5,123,4,0,0
85340,F5HSY2,164,2,0,0
85341,A0A5G2RBI3,640,1,0,1
85342,A0A4X1TFY5,230,4,0,0
85343,A0A4X1SGK5,137,3,0,0
85344,A0A4X1SNP5,206,3,0,0
85345,A0A4X1U4F8,2436,4,0,0
85346,A0A4X1U5V9,306,3,0,0
85347,A0A4X1VQU9,290,4,0,0
85348,A0A4X1VUF4,88,3,0,0
85349,Q9G7T2,67,3,0,0
85350,A0A4X1UPF9,277,4,0,0
85351,A0A4X1VWP4,175,3,0,0
85352,A0A287AYT5,310,3,0,1
85353,A0A286ZR31,363,4,0,1
85354,A0A4X1W6U1,421,4,0,0
85355,A0A5G2QR05,266,4,0,1
85356,A0A287AGC7,245,3,0,1
85357,A0A4X1UC84,1453,4,0,0
85358,A0A4X1UFX5,109,4,0,0
85359,A0A287AVA9,406,1,0,1
85360,A0A4X1UCT4,384,4,0,0
85361,A0A4X1TYG9,368,4,0,0
85362,A0A4X1SLV3,316,3,0,0
85363,A0A5G2R3R6,52,3,0,1
85364,A0A5G2R266,1127,1,0,1
85365,Q08GP7,207,4,0,0
85366,A0A4X1VU05,207,3,0,0
85367,A0A4X1VV98,246,4,0,0
85368,C7FE61,226,3,0,0
85369,A0A4X1UPW1,184,3,0,0
85370,A0A4X1UGD7,105,4,0,0
85371,A0A4X1W5B4,145,4,0,0
85372,A0A4X1V183,1156,3,0,0
85373,Q304W1,189,3,0,0
85374,A0A4X1TNX6,146,3,0,0
85375,A0A287A8G1,69,4,0,1
85376,A0A5G2QS35,435,1,0,1
85377,C8CKB6,184,2,0,0
85378,A0A5G2RI69,190,1,0,1
85379,A0A5G2R2V1,214,4,0,1
85380,A0A4X1UV48,2297,4,0,0
85381,A0A5G2QBR8,250,3,0,1
85382,A0A5G2R3S4,311,4,0,1
85383,I3L9I6,615,1,0,1
85384,A0A4X1SGV0,251,3,0,0
85385,A0A287BRP8,821,4,0,1
85386,Q9XSM8,317,2,0,0
85387,M5AWX0,291,2,0,0
85388,A0A287BIU9,349,1,0,1
85389,A0A5G2Q9G2,281,4,0,1
85390,F1RWS0,312,4,0,1
85391,A0A4X1VLN1,3078,4,0,0
85392,A0A4X1WAA5,160,3,0,0
85393,A0A287AX04,359,1,0,1
85394,A0A5G2R3F8,259,4,0,1
85395,A0A287BCC1,1109,4,0,1
85396,A0A4X1U6I9,96,3,0,0
85397,Q304V9,189,3,0,0
85398,A0A287B2V2,570,4,0,1
85399,A0A4X1T473,334,3,0,0
85400,A0A5G2RK41,344,4,0,1
85401,A0A287B033,67,4,0,1
85402,F1RIL3,318,3,0,1
85403,I3LLA8,704,1,0,1
85404,A0A5G2QKH7,321,3,0,1
85405,A0A4X1TYZ5,653,4,0,0
85406,A0A4X1UG64,502,3,0,0
85407,A0A4X1T089,344,3,0,0
85408,A0A287AYX6,451,3,0,1
85409,A0A4X1VJA2,504,3,0,0
85410,D6BJX2,216,3,0,0
85411,A7UAT6,89,4,0,0
85412,A0A286ZYQ8,601,1,0,1
85413,A0A4X1W926,855,4,0,0
85414,A0A4X1VDI5,91,3,0,0
85415,A0A4X1TVR9,339,4,0,0
85416,Q0N2S8,59,2,0,0
85417,A0A286ZVW1,579,3,0,1
85418,A0A287AJ46,523,1,0,1
85419,A0A4X1T528,620,4,0,0
85420,A0A4X1WD12,382,3,0,0
85421,Q2LC38,71,4,0,0
85422,A0A4X1T047,990,4,0,0
85423,A0A4X1VMC0,642,4,0,0
85424,Q9TSA9,65,1,0,0
85425,A0A4X1SGD7,402,4,0,0
85426,F1RH69,343,3,0,1
85427,A0A287B350,576,1,0,1
85428,A0A4X1SFV7,574,4,0,0
85429,A0A4X1T437,196,4,0,0
85430,A0A5G2R0D0,221,3,0,1
85431,A0A4X1SFN2,179,3,0,0
85432,H6X3F4,261,2,0,0
85433,A0A4X1UAP3,323,3,0,0
85434,A0A4X1VMG9,124,3,0,0
85435,A0A4X1T9V0,173,3,0,0
85436,A0A4X1TP27,70,3,0,0
85437,A0A4X1UUY0,330,3,0,0
85438,A0A4X1VWQ8,226,4,0,0
85439,A0A4X1UFJ0,915,3,0,0
85440,A0A4X1V3C1,91,4,0,0
85441,A0A287AV77,2187,3,0,1
85442,B6VD08,146,3,0,0
85443,A0A5G2QDH8,404,3,0,1
85444,A0A4X1VLJ3,375,3,0,0
85445,A0A4X1TSY4,348,4,0,0
85446,A0A4X1VA99,299,4,0,0
85447,A0A4X1VLN0,576,4,0,0
85448,A0A4X1U4J0,131,4,0,0
85449,A0A5G2QIX9,144,1,0,1
85450,Q29202,139,2,0,0
85451,A0A5G2QWP9,208,4,0,1
85452,Q6QAP8,34,2,0,0
85453,A0A5G2QX87,153,4,0,1
85454,A0A5G2RBA6,841,1,0,1
85455,A0A4X1U7U3,735,4,0,0
85456,A0A4X1W687,701,4,0,0
85457,A0A5G2R645,330,4,0,1
85458,A0A4X1U503,773,4,0,0
85459,A0A481B4P1,139,4,0,0
85460,A0A287AEE2,251,4,0,1
85461,A0A0F6TNY5,3882,2,0,0
85462,A0A5G2RHD7,569,1,0,1
85463,A0A4X1W957,368,3,0,0
85464,A0A4X1V7I0,302,4,0,0
85465,A0A4X1UAU6,179,3,0,0
85466,A0A4X1U9C5,175,4,0,0
85467,A0A4X1UL93,389,4,0,0
85468,A0A4X1V1A5,612,3,0,0
85469,A0A287A8Q1,683,1,0,1
85470,A0A4X1TW07,388,3,0,0
85471,A0A4X1TQC2,106,3,0,0
85472,A0A4X1U5C9,1326,4,0,0
85473,A0A287AIJ3,225,1,0,1
85474,A0A5S6GRJ5,396,1,0,1
85475,A0A4X1TNE1,541,3,0,0
85476,A0A287B3M3,710,4,0,1
85477,A0A4X1T7A9,849,4,0,0
85478,A0A287B3G4,206,3,0,1
85479,A0A4X1TRQ8,1057,4,0,0
85480,A0A4X1TXD7,599,3,0,0
85481,A0A4X1UIE0,372,4,0,0
85482,A0A5G2QXB8,159,3,0,1
85483,A0A287AIM8,1677,1,0,1
85484,A0A4X1SEY2,312,3,0,0
85485,A0A5G2QXX3,742,1,0,1
85486,A0A4X1T9Q8,4492,3,0,0
85487,A0A287BDX3,722,3,0,1
85488,A0A5G2Q8U5,174,4,0,1
85489,A0A5G2R2W4,222,4,0,1
85490,A0A4X1U380,1086,4,0,0
85491,A0A4X1UYX0,309,4,0,0
85492,A0A482LX62,190,2,0,0
85493,A0A4X1U6W5,210,4,0,0
85494,D9YJ49,985,2,0,0
85495,A0A4X1U9W9,98,3,0,0
85496,A0A4X1SJI4,237,4,0,0
85497,B1PK15,529,2,0,0
85498,A0A4X1V8X1,187,4,0,0
85499,A0A286ZRY1,331,3,0,1
85500,A0A4X1TP41,292,3,0,0
85501,A0A4X1VUX8,152,3,0,0
85502,Q31064,253,2,0,0
85503,A0A286ZJR7,173,3,0,1
85504,A0A4X1ULV1,256,3,0,0
85505,A0A4X1V3W1,570,3,0,0
85506,A0A287BKS0,1044,3,0,1
85507,A0A5G2RC89,650,4,0,1
85508,A0A4X1TT04,161,3,0,0
85509,A0A287A9J9,509,3,0,1
85510,A0A4X1WAQ8,240,3,0,0
85511,K7GNJ8,61,3,0,1
85512,A0A4X1VFS8,979,4,0,0
85513,A0A4X1SQW2,1152,4,0,0
85514,Q9TRN5,15,1,0,0
85515,A0A286ZQG4,230,3,0,1
85516,A0A4X1V0W5,735,4,0,0
85517,A0A5G2RCX2,316,1,0,1
85518,A0A4X1T7Y2,865,3,0,0
85519,A0A4X1WBX3,333,3,0,0
85520,A0A4X1VSC0,1573,3,0,0
85521,A0A5G2QGH0,173,4,0,1
85522,O77554,173,2,0,0
85523,A0A287B8M5,132,4,0,1
85524,A0A4X1WAQ0,462,4,0,0
85525,A0A4X1TV06,250,4,0,0
85526,A0A4X1TDE9,520,4,0,0
85527,A0A287AK39,313,3,0,1
85528,A0A4X1W1F1,636,3,0,0
85529,A0A287AGJ5,347,3,0,1
85530,A0A4X1V3T9,567,3,0,0
85531,Q95249,215,2,0,0
85532,A0A5G2QG58,1284,4,0,1
85533,A0A4X1VB86,113,4,0,0
85534,A0A5G2QQ08,115,4,0,1
85535,A0A4X1UPG8,501,4,0,0
85536,A0A287BH80,922,4,0,1
85537,A0A5G2R8M9,166,4,0,1
85538,A0A4X1WBZ3,481,3,0,0
85539,A0A4X1V2L8,101,3,0,0
85540,A0A4X1SG36,709,4,0,0
85541,A0A287AI68,425,1,0,1
85542,A0A4X1UCH1,85,4,0,0
85543,A0A287APE6,577,1,0,1
85544,A0A480TC66,369,3,0,0
85545,A0A4X1TVH6,392,3,0,0
85546,O19184,80,4,0,0
85547,Q29027,99,2,0,0
85548,A0A4X1TPY6,242,3,0,0
85549,A0A4X1V866,315,3,0,0
85550,A0A4X1USI8,379,3,0,0
85551,A0A4X1W9Q9,354,4,0,0
85552,A0A287B927,373,4,0,1
85553,A0A4X1VKN1,1283,4,0,0
85554,A0A5G2QZJ6,216,4,0,1
85555,Q27HS6,56,2,0,0
85556,A0A4X1SK00,306,3,0,0
85557,A0A4X1UCT0,80,4,0,0
85558,A0A0D5CDB2,285,2,0,0
85559,A0A287ADX5,416,1,0,1
85560,A0A5G2R746,161,1,0,1
85561,A0A5G2RFJ2,308,3,0,1
85562,Q8HX76,103,2,0,0
85563,A0A4X1T961,299,4,0,0
85564,C0J7L6,70,4,0,0
85565,A0A481CHT0,333,3,0,0
85566,A0A286ZT15,341,3,0,1
85567,A0A4X1VFX4,427,3,0,0
85568,A0A4X1SQX7,105,4,0,0
85569,A0A287B4I3,513,4,0,1
85570,A0A287A9E2,153,3,0,1
85571,A0A4X1U5F0,480,4,0,0
85572,A0A4X1TTN7,322,3,0,0
85573,A0A4X1U3Q3,239,4,0,0
85574,A0A4X1TDC9,263,3,0,0
85575,A0A5G2RGI3,394,4,0,1
85576,A0A4X1VJR5,385,3,0,0
85577,A0A286ZS09,475,1,0,1
85578,A0A4X1U1A1,208,4,0,0
85579,A0A286ZMH9,470,4,0,1
85580,A0A5G2R6K7,567,1,0,1
85581,A0A4X1UT63,495,3,0,0
85582,A0A4X1SH09,394,3,0,0
85583,A0A4X1VJE8,196,4,0,0
85584,A0A4X1TIH3,709,4,0,0
85585,A0A4X1W4J9,411,3,0,0
85586,A0A4X1SLP5,157,4,0,0
85587,A0A1C9J6D5,261,2,0,0
85588,A0A4X1UMK3,242,4,0,0
85589,A0A4X1U018,319,4,0,0
85590,A0A4X1U8J0,128,4,0,0
85591,A0A4X1TU57,284,3,0,0
85592,A0A4X1SV24,242,4,0,0
85593,A0A4X1UV67,246,3,0,0
85594,A0A4X1SDV7,345,3,0,0
85595,A0A4X1TYD7,302,4,0,0
85596,A0A4X1T9J6,429,4,0,0
85597,Q8SQ57,230,2,0,0
85598,A0A4X1VRE1,223,3,0,0
85599,A0A4X1TUI7,448,4,0,0
85600,A0A287B7J8,244,4,0,1
85601,A0A4X1U8R8,148,4,0,0
85602,A0A5G2R1L3,240,4,0,1
85603,A0A4X1VHS8,275,3,0,0
85604,A0A4X1TJ97,363,3,0,0
85605,A0A4X1TMZ6,833,3,0,0
85606,A0A4X1V0I1,94,4,0,0
85607,A0A287BIK2,241,1,0,1
85608,A0A287BLW7,727,3,0,1
85609,A0A4X1SDZ7,346,4,0,0
85610,L8B0V6,474,2,0,0
85611,A0A0G3Z6D1,50,4,0,0
85612,A0A4X1UC68,494,4,0,0
85613,A0A4X1TE92,377,3,0,0
85614,A0A5G2RII9,134,1,0,1
85615,A0A4X1VZ60,206,4,0,0
85616,A0A4X1SUC0,88,3,0,0
85617,A0A4X1TY17,218,3,0,0
85618,A0A287AQB5,456,3,0,1
85619,A0A4X1TVK2,651,3,0,0
85620,A0A287ANZ5,922,3,0,1
85621,A0A4X1SN67,586,3,0,0
85622,A0A287AI49,1752,1,0,1
85623,A0A4X1VB82,445,4,0,0
85624,A0A4X1TP32,513,4,0,0
85625,A0A287AYZ8,438,3,0,1
85626,A0A4X1VDN3,371,3,0,0
85627,A0A4X1TFP6,314,4,0,0
85628,A0A4X1UGE1,284,4,0,0
85629,A0A286ZK30,268,4,0,1
85630,A0A4X1TV79,716,3,0,0
85631,Q4JHT2,129,3,0,0
85632,Q29284,112,2,0,0
85633,A0A4X1TD77,205,3,0,0
85634,A0A4X1TWW5,219,4,0,0
85635,Q6QTF5,189,3,0,0
85636,A0A4X1W4U1,706,3,0,0
85637,A0A286ZVR6,471,3,0,1
85638,A0A5G2QT34,500,1,0,1
85639,A0A4X1TEJ9,865,4,0,0
85640,A0A5G2QRQ7,396,1,0,1
85641,A0A4X1W226,155,4,0,0
85642,A0A4X1V332,369,3,0,0
85643,A0A4X1SQS3,137,4,0,0
85644,A0A287ALI2,456,3,0,1
85645,A0A4X1U020,312,3,0,0
85646,A0A5G2QS95,185,4,0,1
85647,A0A4X1VH56,875,3,0,0
85648,A0A4X1T491,544,4,0,0
85649,A0A5S6IDN1,295,1,0,1
85650,I3LDF8,351,4,0,1
85651,A0A4X1TT69,370,4,0,0
